place_id;nom;categorie_libertyk;type_cacherout;hekhsher;specialite;adresse_rue;code_postal;ville;region;telephone;note_google;nombre_avis;horaires;latitude;longitude;url_maps;statut_activite
"ChIJKhanParis17e001";"Khan Restaurant";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Paris";"Burger / Grillades";"124 Avenue de Villiers";"75017";"Paris";"Île-de-France";"+33 1 42 27 18 19";"4.9";"412";"Lundi-Jeudi: 12:00–15:00, 19:30–23:00; Vendredi: 12:00–15:00; Dimanche: 12:00–15:30, 19:30–23:00; Samedi: Fermé";"48.8835";"2.3015";"https://maps.google.com/?cid=1029384756101";"OPERATIONAL"
"ChIJKavodParis8e002";"Kavod";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Paris";"Bistronomie / Gastronomie";"26 Rue Jean Mermoz";"75008";"Paris";"Île-de-France";"+33 1 42 25 65 26";"4.8";"380";"Lundi-Jeudi: 12:00–14:30, 19:30–23:00; Dimanche: 19:30–23:00; Vendredi-Samedi: Fermé";"48.8705";"2.3101";"https://maps.google.com/?cid=1029384756102";"OPERATIONAL"
"ChIJChezIsaacParis3e003";"Chez Isaac";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Plats traditionnels / Orientale";"52 Rue Volta";"75003";"Paris";"Île-de-France";"+33 1 42 71 19 09";"4.7";"290";"Lundi-Jeudi: 12:00–15:00, 19:00–22:30; Dimanche: 12:00–22:30; Vendredi: 11:30–15:00; Samedi: Fermé";"48.8652";"2.3589";"https://maps.google.com/?cid=1029384756103";"OPERATIONAL"
"ChIJAsDuFallafelParis4e004";"L'As du Fallafel";"Fast-Food / Street Food";"Bassari (Viande)";"Beth Din de Paris";"Street Food / Shawarma / Falafel";"34 Rue des Rosiers";"75004";"Paris";"Île-de-France";"+33 1 48 87 63 60";"4.6";"14500";"Dimanche-Jeudi: 11:00–23:00; Vendredi: 11:00–16:00; Samedi: Fermé";"48.8574";"2.3592";"https://maps.google.com/?cid=1029384756104";"OPERATIONAL"
"ChIJKorcarzParis4e005";"Pâtisserie Korcarz";"Pâtisserie / Boulangerie";"Parve (Neutre)";"Beth Din de Paris";"Pâtisserie fine / Bagel / Viennoiserie";"29 Rue des Rosiers";"75004";"Paris";"Île-de-France";"+33 1 42 77 39 43";"4.7";"750";"Dimanche-Jeudi: 08:00–19:30; Vendredi: 08:00–15:30; Samedi: Fermé";"48.8576";"2.3595";"https://maps.google.com/?cid=1029384756105";"OPERATIONAL"
"ChIJPitzmanParis4e006";"Pitzman";"Pizzeria / Snack";"Halavi - Lait Chamour";"Beth Din de Paris";"Pizza & Pâtes";"8 Rue Pavée";"75004";"Paris";"Île-de-France";"+33 1 42 71 80 18";"4.5";"820";"Dimanche-Jeudi: 11:30–23:00; Vendredi: 11:30–15:00; Samedi: Fermé";"48.8568";"2.3601";"https://maps.google.com/?cid=1029384756106";"OPERATIONAL"
"ChIJFinkelsztajnParis4e007";"Maison Sacha Finkelsztajn";"Pâtisserie / Boulangerie";"Parve (Neutre)";"Beth Din de Paris";"Pâtisserie fine / Bagel / Viennoiserie";"27 Rue des Rosiers";"75004";"Paris";"Île-de-France";"+33 1 42 72 78 91";"4.6";"1200";"Mercredi-Dimanche: 10:00–19:00; Lundi-Mardi: Fermé";"48.8577";"2.3594";"https://maps.google.com/?cid=1029384756107";"OPERATIONAL"
"ChIJMarceauCafeParis6e008";"Marceau Café";"Salon de thé / Café";"Halavi - Lait Chamour";"Beth Din de Paris";"Pâtisserie fine / Bagel / Viennoiserie";"66 Rue de Vaugirard";"75006";"Paris";"Île-de-France";"+33 1 45 48 32 14";"4.8";"340";"Lundi-Jeudi: 08:30–18:30; Vendredi: 08:30–15:00; Dimanche: 09:30–18:30; Samedi: Fermé";"48.8488";"2.3305";"https://maps.google.com/?cid=1029384756108";"OPERATIONAL"
"ChIJDouiebParis9e009";"Douieb Traiteur & Sandwicherie";"Traiteur";"Bassari (Viande)";"Beth Din de Paris";"Sandwicherie";"11 bis Rue Geoffroy-Marie";"75009";"Paris";"Île-de-France";"+33 1 47 70 86 09";"4.7";"480";"Dimanche-Jeudi: 11:30–15:30, 18:30–21:30; Vendredi: 10:30–15:00; Samedi: Fermé";"48.8741";"2.3442";"https://maps.google.com/?cid=1029384756109";"OPERATIONAL"
"ChIJNovelaParis10e010";"Novela";"Fast-Food / Street Food";"Bassari (Viande)";"Beth Din de Paris";"Street Food / Shawarma / Falafel";"8 Boulevard de Magenta";"75010";"Paris";"Île-de-France";"+33 1 40 05 54 83";"4.6";"210";"Dimanche-Jeudi: 11:30–15:00, 18:30–22:30; Vendredi: 11:30–14:30; Samedi: Fermé";"48.8702";"2.3608";"https://maps.google.com/?cid=1029384756110";"OPERATIONAL"
"ChIJLaMinaParis11e011";"La Mina";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Plats traditionnels / Orientale";"45 Rue de Montreuil";"75011";"Paris";"Île-de-France";"+33 1 73 71 47 15";"4.7";"340";"Lundi-Jeudi: 12:00–15:00, 19:30–23:00; Dimanche: 12:00–23:00; Vendredi-Samedi: Fermé";"48.8512";"2.3882";"https://maps.google.com/?cid=1029384756111";"OPERATIONAL"
